appid,name,release_date,release_year,year_range,developer,publisher,free_to_play,virtual_reality_support,singleplayer,multiplayer,windows_support,mac_support,linux_support,required_age,categories,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,genres,value
72850,The Elder Scrolls V: Skyrim,2011-11-10,2011,2009 - 2011,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,16,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,Open World;RPG;Fantasy,75,Positive,237303,14951,7089,3885,10M to 20M,9.99,252254,Genre1,RPG
230410,Warframe,2013-03-25,2013,2012 - 2015,Digital Extremes,Digital Extremes,TRUE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,16,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to Play;Action;Co-op,187,Positive,226541,20268,5845,394,20M to 50M,0,246809,Genre1,Action
230410,Warframe,2013-03-25,2013,2012 - 2015,Digital Extremes,Digital Extremes,TRUE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,16,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to Play;Action;Co-op,187,Positive,226541,20268,5845,394,20M to 50M,0,246809,Genre2,Free to Play
292030,The Witcher® 3: Wild Hunt,2015-05-18,2015,2012 - 2015,CD PROJEKT RED,CD PROJEKT RED,FALSE,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Open World;RPG;Story Rich,78,Extremely Positive,202930,4798,3068,2002,5M to 10M,24.99,207728,Genre1,RPG
444090,Paladins®,2018-05-08,2018,2016 - 2019,Evil Mojo Games,Hi-Rez Studios,TRUE,FALSE,FALSE,Online only,TRUE,FALSE,FALSE,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to Play;Multiplayer;FPS,58,Positive,169580,32407,1595,407,10M to 20M,0,201987,Genre1,Action
444090,Paladins®,2018-05-08,2018,2016 - 2019,Evil Mojo Games,Hi-Rez Studios,TRUE,FALSE,FALSE,Online only,TRUE,FALSE,FALSE,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to Play;Multiplayer;FPS,58,Positive,169580,32407,1595,407,10M to 20M,0,201987,Genre2,Free to Play
381210,Dead by Daylight,2016-06-14,2016,2016 - 2019,Behaviour Digital Inc.,Behaviour Digital Inc.,FALSE,FALSE,FALSE,Online + Co-op,TRUE,FALSE,FALSE,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Horror;Survival Horror;Multiplayer,128,Positive,140721,44985,5904,585,5M to 10M,14.99,185706,Genre1,Action
227300,Euro Truck Simulator 2,2012-10-12,2012,2012 - 2015,SCS Software,SCS Software,FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Simulation;Driving;Open World,67,Extremely Positive,176769,5825,4942,1413,5M to 10M,14.99,182594,Genre1,Indie
227300,Euro Truck Simulator 2,2012-10-12,2012,2012 - 2015,SCS Software,SCS Software,FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Simulation;Driving;Open World,67,Extremely Positive,176769,5825,4942,1413,5M to 10M,14.99,182594,Genre2,Simulation
49520,Borderlands 2,2012-09-20,2012,2012 - 2015,Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,18,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,FPS;Co-op;RPG,69,Positive,144595,11021,3276,1139,5M to 10M,19.99,155616,Genre1,Action
