appid,name,release_date,release_year,year_range,developer,publisher,free_to_play,virtual_reality_support,singleplayer,multiplayer,windows_support,mac_support,linux_support,required_age,categories,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,genres,value
251570,7 Days to Die,2013-12-13,2013,2012 - 2015,The Fun Pimps,The Fun Pimps Entertainment LLC,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor,Early Access;Survival;Zombies,43,Positive,60718,16905,2953,574,2M to 5M,18.99,77623,Genre8,Simulation
251570,7 Days to Die,2013-12-13,2013,2012 - 2015,The Fun Pimps,The Fun Pimps Entertainment LLC,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor,Early Access;Survival;Zombies,43,Positive,60718,16905,2953,574,2M to 5M,18.99,77623,Genre9,Strategy
251570,7 Days to Die,2013-12-13,2013,2012 - 2015,The Fun Pimps,The Fun Pimps Entertainment LLC,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor,Early Access;Survival;Zombies,43,Positive,60718,16905,2953,574,2M to 5M,18.99,77623,Genre10,Early Access
250900,The Binding of Isaac: Rebirth,2014-11-04,2014,2012 - 2015,"Nicalis, Inc.","Nicalis, Inc.",FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,16,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Indie;Replay Value;Rogue-like,403,Extremely Positive,72830,1840,4583,3236,2M to 5M,10.99,74670,Genre1,Action
379720,DOOM,2016-05-12,2016,2016 - 2019,id Software,Bethesda Softworks,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,18,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,FPS;Action;Gore,54,Positive,68536,5156,751,560,2M to 5M,14.99,73692,Genre1,Action
255710,Cities: Skylines,2015-03-10,2015,2012 - 2015,Colossal Order Ltd.,Paradox Interactive,FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,City Builder;Simulation;Building,97,Positive,67553,6005,3225,444,5M to 10M,22.99,73558,Genre1,Simulation
255710,Cities: Skylines,2015-03-10,2015,2012 - 2015,Colossal Order Ltd.,Paradox Interactive,FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,City Builder;Simulation;Building,97,Positive,67553,6005,3225,444,5M to 10M,22.99,73558,Genre2,Strategy
220,Half-Life 2,2004-11-16,2004,2000 - 2004,Valve,Valve,FALSE,FALSE,TRUE,No multiplayer,TRUE,TRUE,TRUE,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,FPS;Action;Sci-fi,33,Extremely Positive,67902,2419,691,402,10M to 20M,7.19,70321,Genre1,Action
22380,Fallout: New Vegas,2010-10-21,2010,2009 - 2011,Obsidian Entertainment,Bethesda Softworks,FALSE,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,18,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Open World;RPG;Post-apocalyptic,75,Extremely Positive,66756,3149,2485,1431,2M to 5M,7.99,69905,Genre1,Action
22380,Fallout: New Vegas,2010-10-21,2010,2009 - 2011,Obsidian Entertainment,Bethesda Softworks,FALSE,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,18,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,Open World;RPG;Post-apocalyptic,75,Extremely Positive,66756,3149,2485,1431,2M to 5M,7.99,69905,Genre2,RPG
244850,Space Engineers,2019-02-28,2019,2016 - 2019,Keen Software House,Keen Software House,FALSE,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Space;Sandbox;Building,27,Positive,60221,9609,3739,1147,2M to 5M,15.49,69830,Genre1,Action
244850,Space Engineers,2019-02-28,2019,2016 - 2019,Keen Software House,Keen Software House,FALSE,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Space;Sandbox;Building,27,Positive,60221,9609,3739,1147,2M to 5M,15.49,69830,Genre2,Indie
244850,Space Engineers,2019-02-28,2019,2016 - 2019,Keen Software House,Keen Software House,FALSE,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Space;Sandbox;Building,27,Positive,60221,9609,3739,1147,2M to 5M,15.49,69830,Genre3,Simulation
244850,Space Engineers,2019-02-28,2019,2016 - 2019,Keen Software House,Keen Software House,FALSE,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Space;Sandbox;Building,27,Positive,60221,9609,3739,1147,2M to 5M,15.49,69830,Genre4,Strategy
