publisher,genre,sum(global_sales)
Hasbro Interactive,Action,5.59
505 Games,Shooter,5.49
Warner Bros. Interactive Entertainment,Misc,5.46
Activision,Adventure,5.33
Unknown,Role-Playing,5.26
Namco Bandai Games,Adventure,5.24
Red Orb,Adventure,5.24
Level 5,Action,4.92
Sony Computer Entertainment Europe,Simulation,4.88
Hudson Soft,Misc,4.87
Atari,Simulation,4.86
Codemasters,Shooter,4.8
Electronic Arts,Adventure,4.69
Virgin Interactive,Strategy,4.67
Global Star,Sports,4.59
Electronic Arts,Puzzle,4.5
Unknown,Racing,4.5
Imagic,Shooter,4.45
505 Games,Misc,4.430000000000001
Rising Star Games,Simulation,4.42
Fox Interactive,Platformer,4.29
Unknown,Action,4.29
Virgin Interactive,Shooter,4.27
Microsoft Game Studios,Strategy,4.26
Palcom,Action,4.17
Psygnosis,Racing,4.13
LucasArts,Simulation,4.11
Tomy Corporation,Fighting,4.11
Eidos Interactive,Racing,3.9899999999999998
Tecmo Koei,Sports,3.94
Square Enix,Adventure,3.9299999999999997
Focus Home Interactive,Simulation,3.89
Eidos Interactive,Sports,3.87
Atari,Strategy,3.86
Parker Bros.,Action,3.85
Tecmo Koei,Fighting,3.8
Infogrames,Misc,3.73
Sony Computer Entertainment,Puzzle,3.7
Universal Interactive,Action,3.68
Infogrames,Racing,3.67
D3Publisher,Misc,3.66
Warner Bros. Interactive Entertainment,Shooter,3.65
Spike,Sports,3.6
Majesco Entertainment,Sports,3.58
Sega,Simulation,3.57
Atari,Adventure,3.54
Eidos Interactive,Role-Playing,3.5100000000000002
Square,Role-Playing,3.48
Virgin Interactive,Platformer,3.48
Maxis,Simulation,3.39
Ubisoft Annecy,Action,3.37
Sony Online Entertainment,Role-Playing,3.35
Take-Two Interactive,Platformer,3.29
City Interactive,Shooter,3.26
Zoo Digital Publishing,Racing,3.22
N/A,Fighting,3.21
Valve Software,Shooter,3.2
Square Enix,Fighting,3.17
Zoo Digital Publishing,Sports,3.17
GT Interactive,Shooter,3.16
Codemasters,Sports,3.1
505 Games,Action,3.09
Midway Games,Puzzle,3.03
Nordic Games,Misc,2.97
Majesco Entertainment,Action,2.92
PQube,Fighting,2.92
Koch Media,Action,2.91
Mojang,Adventure,2.91
SCi,Shooter,2.89
Deep Silver,Role-Playing,2.87
Activision,Fighting,2.86
Namco Bandai Games,Platformer,2.85
D3Publisher,Shooter,2.81
GungHo,Role-Playing,2.81
Sony Computer Entertainment Europe,Platformer,2.7800000000000002
Hudson Soft,Platformer,2.77
Eidos Interactive,Fighting,2.73
Hudson Soft,Sports,2.72
Warner Bros. Interactive Entertainment,Strategy,2.7
Arena Entertainment,Fighting,2.67
Majesco Entertainment,Misc,2.64
989 Studios,Action,2.63
Banpresto,Role-Playing,2.62
SNK,Fighting,2.5900000000000003
Crave Entertainment,Misc,2.59
Telltale Games,Adventure,2.56
Zoo Games,Misc,2.5500000000000003
Disney Interactive Studios,Puzzle,2.54
GT Interactive,Platformer,2.54
Zoo Digital Publishing,Misc,2.54
Sega,Puzzle,2.53
TDK Mediactive,Platformer,2.5100000000000002
Sony Computer Entertainment Europe,Adventure,2.48
Oxygen Interactive,Misc,2.47
Microsoft Game Studios,Fighting,2.44
Compile,Puzzle,2.4299999999999997
Acclaim Entertainment,NA,2.42
Idea Factory,Adventure,2.42
JVC,Puzzle,2.4
Capcom,Racing,2.37
505 Games,Puzzle,2.35
Acclaim Entertainment,Platformer,2.3400000000000003
Ghostlight,Role-Playing,2.34
Bethesda Softworks,Sports,2.33
TDK Mediactive,Racing,2.3200000000000003
Sony Computer Entertainment,Strategy,2.32
D3Publisher,Platformer,2.31
NCSoft,Action,2.31
Red Storm Entertainment,Shooter,2.28
Ignition Entertainment,Fighting,2.25
UEP Systems,Sports,2.25
Alchemist,Adventure,2.16
Fox Interactive,Shooter,2.14
Infogrames,Role-Playing,2.14
Natsume,Sports,2.11
Tecmo Koei,Simulation,2.11
Infogrames,Shooter,2.1
ChunSoft,Adventure,2.09
Rising Star Games,Misc,2.09
Unknown,Puzzle,2.06
Arena Entertainment,Sports,2.05
GT Interactive,Racing,2.02
LucasArts,Adventure,2.01
Video System,Racing,1.9900000000000002
Banpresto,Puzzle,1.97
Deep Silver,Sports,1.96
Majesco Entertainment,Simulation,1.96
Capcom,Misc,1.94
Bethesda Softworks,Racing,1.9300000000000002
ChunSoft,Role-Playing,1.87
Focus Home Interactive,Adventure,1.87
Hudson Soft,Role-Playing,1.86
RTL,Sports,1.86
Square Enix,Strategy,1.85
Takara,Fighting,1.8
SquareSoft,Strategy,1.79
SouthPeak Games,Racing,1.7899999999999998
Kadokawa Shoten,Role-Playing,1.78
D3Publisher,Puzzle,1.75
Midway Games,Platformer,1.74
20th Century Fox Video Games,Action,1.7200000000000002
989 Studios,Racing,1.72
Konami Digital Entertainment,Fighting,1.72
Taito,Simulation,1.72
Black Bean Games,Racing,1.71
Hello Games,Action,1.7
Kadokawa Shoten,Adventure,1.7
Valve,Shooter,1.7
Avanquest,Puzzle,1.69
Codemasters,Misc,1.69
Unknown,Shooter,1.68
Play It,Misc,1.67
Sammy Corporation,Misc,1.67
Crave Entertainment,Racing,1.65
Microsoft Game Studios,Platformer,1.6300000000000001
Deep Silver,Simulation,1.6199999999999999
Ocean,Action,1.6199999999999999
Deep Silver,Adventure,1.6099999999999999
Microsoft Game Studios,Adventure,1.6099999999999999
Rising Star Games,Action,1.59
N/A,Sports,1.58
Virgin Interactive,Role-Playing,1.58
3DO,Sports,1.57
Gotham Games,Shooter,1.57
GSP,Adventure,1.56
Square Enix,Misc,1.56
Mastiff,Sports,1.55
SquareSoft,Fighting,1.55
Vivendi Games,Misc,1.55
Westwood Studios,Strategy,1.55
Marvelous Interactive,Role-Playing,1.54
Vivendi Games,Adventure,1.54
Acclaim Entertainment,Action,1.53
Avanquest Software,Adventure,1.52
Empire Interactive,Puzzle,1.52
Play It,Racing,1.52
Warner Bros. Interactive Entertainment,Platformer,1.52
Mattel Interactive,Action,1.51
Unknown,Simulation,1.49
Empire Interactive,Shooter,1.48
Slightly Mad Studios,Racing,1.48
LucasArts,Strategy,1.47
Coleco,Platformer,1.46
Human Entertainment,Fighting,1.46
GSP,Misc,1.4400000000000002
Disney Interactive Studios,Role-Playing,1.44
Touchstone,Action,1.43
Marvelous Entertainment,Action,1.4200000000000002
Hudson Soft,Action,1.42
Tigervision,Action,1.42
Ignition Entertainment,Puzzle,1.4100000000000001
Codemasters,Action,1.41
Focus Home Interactive,Role-Playing,1.4000000000000001
Eidos Interactive,Platformer,1.3800000000000001
Interplay,Action,1.38
5pb,Adventure,1.37
Koch Media,Simulation,1.3599999999999999
Acclaim Entertainment,Puzzle,1.35
Imagineer,Role-Playing,1.33
Zoo Digital Publishing,Puzzle,1.33
Square Enix,Simulation,1.32
ASC Games,Racing,1.31
Genki,Racing,1.31
Nobilis,Simulation,1.31
Accolade,Racing,1.3
Global Star,Adventure,1.3
Game Factory,Simulation,1.29
Kalypso Media,Strategy,1.29
Konami Digital Entertainment,Racing,1.27
SouthPeak Games,Role-Playing,1.27
Coleco,Action,1.26
Infogrames,Platformer,1.26
Infogrames,Sports,1.26
Psygnosis,Action,1.26
Sony Computer Entertainment America,Sports,1.26
Acclaim Entertainment,Adventure,1.24
Pinnacle,Misc,1.24
Scholastic Inc.,Adventure,1.24
Hudson Soft,Shooter,1.23
LEGO Media,Racing,1.21
Black Label Games,Action,1.2
Microprose,Strategy,1.2
Milestone S.r.l.,Racing,1.2
Nippon Ichi Software,Action,1.2
Acclaim Entertainment,Misc,1.19
Aruze Corp,Misc,1.1800000000000002
Atlus,Fighting,1.18
505 Games,Role-Playing,1.1700000000000002
Falcom Corporation,Role-Playing,1.17
Majesco Entertainment,Puzzle,1.16
Metro 3D,Simulation,1.16
Unknown,Adventure,1.16
Rocket Company,Misc,1.1500000000000001
Crave Entertainment,Sports,1.15
Success,Shooter,1.15
Crave Entertainment,Role-Playing,1.1400000000000001
TDK Mediactive,Action,1.1300000000000001
THQ,Role-Playing,1.1300000000000001
Trion Worlds,Shooter,1.13
Hasbro Interactive,Puzzle,1.12
Russel,Sports,1.12
Scholastic Inc.,Puzzle,1.1199999999999999
DTP Entertainment,Sports,1.11
Jester Interactive,Racing,1.1099999999999999
Eidos Interactive,Misc,1.1
Enterbrain,Sports,1.1
Mastertronic,Strategy,1.1
Midway Games,Role-Playing,1.1
Rage Software,Fighting,1.1
BAM! Entertainment,Action,1.09
Compile Heart,Role-Playing,1.09
Level 5,Puzzle,1.09
ASCII Entertainment,Racing,1.08
Agetec,Sports,1.08
Crave Entertainment,Action,1.08
Rondomedia,Puzzle,1.07
Storm City Games,Puzzle,1.07
Titus,Simulation,1.07
Activision,Puzzle,1.06
Vivendi Games,Role-Playing,1.06
Takara Tomy,Fighting,1.05
Xplosiv,Racing,1.05
TDK Mediactive,Shooter,1.04
Mentor Interactive,Misc,1.03
Hudson Soft,Simulation,1.02
Interplay,Misc,1.02
Destineer,Simulation,1.01
Tecmo Koei,Adventure,1.01
Deep Silver,Puzzle,0.9900000000000001
Gust,Role-Playing,0.99
Spike,Action,0.9800000000000001
Gotham Games,Fighting,0.97
Rising Star Games,Puzzle,0.97
Eidos Interactive,Simulation,0.9600000000000001
Warner Bros. Interactive Entertainment,Racing,0.9500000000000001
Jorudan,Simulation,0.95
Kemco,Racing,0.95
XS Games,Sports,0.95
IE Institute,Misc,0.9400000000000001
Disney Interactive Studios,Sports,0.94
GT Interactive,Misc,0.94
Midas Interactive Entertainment,Sports,0.9299999999999999
Black Bean Games,Sports,0.92
NewKidCo,Misc,0.9199999999999999
ASCII Entertainment,Role-Playing,0.91
Hasbro Interactive,Platformer,0.91
Majesco Entertainment,Adventure,0.9
Majesco Entertainment,Racing,0.89
SouthPeak Games,Shooter,0.89
Takara,Misc,0.89
Take-Two Interactive,Simulation,0.89
CTO SpA,Shooter,0.88
Deep Silver,Strategy,0.88
Kalypso Media,Simulation,0.88
SouthPeak Games,Action,0.88
505 Games,Fighting,0.87
BAM! Entertainment,Shooter,0.87
Crystal Dynamics,Platformer,0.87
Eidos Interactive,Puzzle,0.87
Quelle,Misc,0.87
TalonSoft,Shooter,0.87
"mixi, Inc",Action,0.87
BMG Interactive Entertainment,Platformer,0.86
Game Factory,Adventure,0.86
Harmonix Music Systems,Misc,0.85
Psygnosis,Simulation,0.85
Zushi Games,Sports,0.85
Laguna,Platformer,0.8400000000000001
Brash Entertainment,Platformer,0.84
Destineer,Sports,0.83
Interplay,Adventure,0.83
PQube,Action,0.83
Nippon Ichi Software,Misc,0.8200000000000001
NovaLogic,Shooter,0.8200000000000001
Mystique,Action,0.82
N/A,Action,0.82
Little Orbit,Adventure,0.81
From Software,Simulation,0.8
Little Orbit,Action,0.8
Sony Computer Entertainment Europe,Shooter,0.8
Square EA,Role-Playing,0.8
System 3 Arcade Software,Racing,0.8
Arc System Works,Fighting,0.79
BAM! Entertainment,Adventure,0.79
Big Ben Interactive,Sports,0.79
Capcom,Puzzle,0.79
GameMill Entertainment,Misc,0.79
Hudson Entertainment,Simulation,0.79
Jaleco,Sports,0.79
Konami Digital Entertainment,Puzzle,0.79
Ocean,Platformer,0.79
BAM! Entertainment,Racing,0.78
Codemasters,Adventure,0.78
Disney Interactive Studios,Simulation,0.78
Telegames,Misc,0.78
Universal Interactive,Shooter,0.78
Virgin Interactive,Adventure,0.78
