publisher,genre,sum(global_sales)
N/A,Adventure,0.27
NCSoft,Role-Playing,0.27
O-Games,Puzzle,0.27
Storm City Games,Racing,0.27
Vic Tokai,Fighting,0.27
Virgin Interactive,Simulation,0.27
Zoo Digital Publishing,Fighting,0.27
Acclaim Entertainment,Role-Playing,0.26
Blast! Entertainment Ltd,Action,0.26
Indie Games,Simulation,0.26
JoWood Productions,Adventure,0.26
Level 5,Sports,0.26
Liquid Games,Racing,0.26
Mastertronic,Puzzle,0.26
NewKidCo,Adventure,0.26
Nippon Telenet,Misc,0.26
Pacific Century Cyber Works,Misc,0.26
Paradox Interactive,Simulation,0.26
The Adventure Company,Adventure,0.26
Virgin Interactive,Puzzle,0.26
Zoo Games,Action,0.26
3DO,Role-Playing,0.25
Arc System Works,Sports,0.25
Axela,Sports,0.25
Banpresto,Fighting,0.25
D3Publisher,Fighting,0.25
DSI Games,Misc,0.25
DTP Entertainment,Misc,0.25
Deep Silver,Fighting,0.25
Empire Interactive,Simulation,0.25
Enterbrain,Adventure,0.25
GSP,Simulation,0.25
Nippon Ichi Software,Platformer,0.25
Paon,Misc,0.25
Spike,Fighting,0.25
Sunsoft,Shooter,0.25
ArtDink,Role-Playing,0.24000000000000002
Hudson Soft,Adventure,0.24000000000000002
PlayV,Puzzle,0.24000000000000002
Tomy Corporation,Role-Playing,0.24000000000000002
Arc System Works,Adventure,0.24
FuRyu,Misc,0.24
Hasbro Interactive,Shooter,0.24
Knowledge Adventure,Action,0.24
MTO,Simulation,0.24
Mattel Interactive,Shooter,0.24
N/A,Simulation,0.24
PopCap Games,Adventure,0.24
Taito,Action,0.24
ValuSoft,Racing,0.24
Xing Entertainment,Fighting,0.24
Aksys Games,Role-Playing,0.23
American Softworks,Action,0.23
Crave Entertainment,Shooter,0.23
DreamCatcher Interactive,Simulation,0.23
GungHo,Action,0.23
Ignition Entertainment,Sports,0.23
Majesco Entertainment,Strategy,0.23
Microids,Adventure,0.23
Nordic Games,Racing,0.23
Ocean,Shooter,0.23
Psygnosis,Role-Playing,0.23
Rising Star Games,Sports,0.23
UFO Interactive,Puzzle,0.23
Acclaim Entertainment,Strategy,0.22999999999999998
Agetec,Action,0.22999999999999998
Bethesda Softworks,Strategy,0.22999999999999998
Daito,Misc,0.22999999999999998
Acquire,Adventure,0.22000000000000003
The Adventure Company,Puzzle,0.22000000000000003
Xplosiv,Misc,0.22000000000000003
Zoo Games,Puzzle,0.22000000000000003
20th Century Fox Video Games,Shooter,0.22
Asgard,Misc,0.22
Bomb,Action,0.22
Detn8 Games,Sports,0.22
Marvelous Interactive,Sports,0.22
Nordcurrent,Misc,0.22
Ocean,Fighting,0.22
TDK Core,Misc,0.22
Vatical Entertainment,Racing,0.22
ASCII Media Works,Adventure,0.21000000000000002
DreamCatcher Interactive,Misc,0.21000000000000002
Popcorn Arcade,Puzzle,0.21000000000000002
SouthPeak Games,Fighting,0.21000000000000002
Sunsoft,Role-Playing,0.21000000000000002
Epoch,Platformer,0.21
Ghostlight,Sports,0.21
Ghostlight,Strategy,0.21
Interplay,Fighting,0.21
Metro 3D,Racing,0.21
On Demand,Role-Playing,0.21
Sears,Puzzle,0.21
Seta Corporation,Role-Playing,0.21
Yeti,Adventure,0.21
505 Games,Strategy,0.2
Agatsuma Entertainment,Action,0.2
Aspyr,Simulation,0.2
BAM! Entertainment,Misc,0.2
BPS,Racing,0.2
CCP,Role-Playing,0.2
Cave,Shooter,0.2
Culture Brain,Sports,0.2
Funcom,Role-Playing,0.2
Gathering of Developers,Misc,0.2
Gremlin Interactive Ltd,Shooter,0.2
Kalypso Media,Action,0.2
Kemco,Sports,0.2
LucasArts,Role-Playing,0.2
Mad Catz,Misc,0.2
Merscom LLC,Adventure,0.2
Natsume,Puzzle,0.2
Playlogic Game Factory,Shooter,0.2
Psygnosis,Shooter,0.2
Rising Star Games,Adventure,0.2
Slitherine Software,Strategy,0.2
Sunsoft,Adventure,0.2
AQ Interactive,Fighting,0.19
Accolade,Platformer,0.19
Accolade,Sports,0.19
Alchemist,Action,0.19
Astragon,Puzzle,0.19
Bethesda Softworks,Simulation,0.19
Core Design Ltd.,Simulation,0.19
DTP Entertainment,Simulation,0.19
Evolved Games,Racing,0.19
Graffiti,Misc,0.19
Gremlin Interactive Ltd,Racing,0.19
JoWood Productions,Sports,0.19
Media Rings,Role-Playing,0.19
Metro 3D,Role-Playing,0.19
Metro 3D,Shooter,0.19
Nordcurrent,Puzzle,0.19
Oxygen Interactive,Action,0.19
SSI,Strategy,0.19
SouthPeak Games,Adventure,0.19
System 3,Platformer,0.19
Telltale Games,Action,0.19
Tripwire Interactive,Shooter,0.19
Video System,Action,0.19
Alchemist,Misc,0.18
Aqua Plus,Misc,0.18
Aspyr,Sports,0.18
City Interactive,Simulation,0.18
DTP Entertainment,Shooter,0.18
"Destination Software, Inc",Puzzle,0.18
Empire Interactive,Sports,0.18
Funsta,Puzzle,0.18
Global Star,Fighting,0.18
LEGO Media,Adventure,0.18
Oxygen Interactive,Adventure,0.18
Reef Entertainment,Shooter,0.18
Ubisoft Annecy,Misc,0.18
Unknown,Strategy,0.18
Adeline Software,Action,0.17
Agetec,Fighting,0.17
Alternative Software,Sports,0.17
Asmik Corp,Sports,0.17
Atlus,Action,0.17
Avalon Interactive,Action,0.17
Crystal Dynamics,Racing,0.17
Essential Games,Shooter,0.17
GameMill Entertainment,Sports,0.17
Gremlin Interactive Ltd,Action,0.17
Hudson Soft,Fighting,0.17
Irem Software Engineering,Misc,0.17
Mastertronic,Shooter,0.17
Panther Software,Role-Playing,0.17
Quinrose,Adventure,0.17
Rage Software,Racing,0.17
Rocket Company,Action,0.17
SouthPeak Games,Misc,0.17
Takara Tomy,Sports,0.17
Valcon Games,Racing,0.17
Acquire,Action,0.16999999999999998
Destineer,Adventure,0.16999999999999998
Insomniac Games,Action,0.16999999999999998
Neko Entertainment,Shooter,0.16999999999999998
System 3 Arcade Software,Platformer,0.16999999999999998
Tru Blu Entertainment,Sports,0.16999999999999998
Virgin Interactive,Sports,0.16999999999999998
Zushi Games,Racing,0.16999999999999998
Aksys Games,Adventure,0.16
Aques,Sports,0.16
DreamCatcher Interactive,Puzzle,0.16
Game Life,Misc,0.16
Happinet,Adventure,0.16
Imagineer,Simulation,0.16
Irem Software Engineering,Action,0.16
Marvelous Entertainment,Simulation,0.16
PlayV,Action,0.16
Sony Online Entertainment,Strategy,0.16
Square,Racing,0.16
Syscom,Misc,0.16
Tivola,Misc,0.16
Vir2L Studios,Action,0.16
Vivendi Games,Puzzle,0.16
"Destination Software, Inc",Simulation,0.15000000000000002
Jaleco,Action,0.15000000000000002
JoWood Productions,Simulation,0.15000000000000002
Kemco,Platformer,0.15000000000000002
SouthPeak Games,Sports,0.15000000000000002
Swing! Entertainment,Shooter,0.15000000000000002
BMG Interactive Entertainment,Racing,0.15
Capcom,Simulation,0.15
Crave Entertainment,Adventure,0.15
Crystal Dynamics,Adventure,0.15
CyberFront,Adventure,0.15
Gathering of Developers,Strategy,0.15
Idea Factory,Misc,0.15
Little Orbit,Simulation,0.15
Media Factory,Sports,0.15
Microids,Action,0.15
Nobilis,Role-Playing,0.15
SNK Playmore,Shooter,0.15
White Park Bay Software,Puzzle,0.15
BMG Interactive Entertainment,Shooter,0.14
Crave Entertainment,Strategy,0.14
EA Games,Shooter,0.14
Excalibur Publishing,Action,0.14
Excalibur Publishing,Simulation,0.14
Game Arts,Role-Playing,0.14
General Entertainment,Strategy,0.14
Global A Entertainment,Role-Playing,0.14
Global Star,Simulation,0.14
Idea Factory International,Role-Playing,0.14
Imadio,Adventure,0.14
Jaleco,Puzzle,0.14
JoWood Productions,Action,0.14
Kadokawa Games,Adventure,0.14
Kadokawa Shoten,Sports,0.14
Media Factory,Adventure,0.14
Mindscape,Sports,0.14
NEC,Adventure,0.14
Sony Music Entertainment,Misc,0.14
Swing! Entertainment,Adventure,0.14
Ubisoft Annecy,Role-Playing,0.14
Valcon Games,Sports,0.14
ValuSoft,Puzzle,0.14
Telegames,Puzzle,0.13999999999999999
3DO,Platformer,0.13
5pb,Action,0.13
Ackkstudios,Role-Playing,0.13
ArtDink,Simulation,0.13
Black Bean Games,Action,0.13
Comfort,Adventure,0.13
Daedalic Entertainment,Adventure,0.13
DreamWorks Interactive,Platformer,0.13
Havas Interactive,Role-Playing,0.13
Level 5,Strategy,0.13
Mercury Games,Simulation,0.13
Midas Interactive Entertainment,Puzzle,0.13
Mindscape,Racing,0.13
Moss,Shooter,0.13
Myelin Media,Misc,0.13
NEC Interchannel,Role-Playing,0.13
Rondomedia,Adventure,0.13
Rondomedia,Racing,0.13
SCS Software,Action,0.13
SouthPeak Games,Strategy,0.13
Success,Adventure,0.13
TDK Mediactive,Adventure,0.13
Telstar,Action,0.13
Tomy Corporation,Simulation,0.13
Touchstone,Simulation,0.13
Zushi Games,Role-Playing,0.13
responDESIGN,Sports,0.13
Aspyr,Misc,0.12000000000000001
Avalon Interactive,Role-Playing,0.12000000000000001
Epoch,Role-Playing,0.12000000000000001
Milestone S.r.l,Racing,0.12000000000000001
SCi,Platformer,0.12000000000000001
SouthPeak Games,Puzzle,0.12000000000000001
Taito,Role-Playing,0.12000000000000001
Angel Studios,Fighting,0.12
Aqua Plus,Strategy,0.12
Atlus,Racing,0.12
Conspiracy Entertainment,Misc,0.12
Crytek,Action,0.12
DHM Interactive,Simulation,0.12
Data Design Interactive,Sports,0.12
Enix Corporation,Sports,0.12
Foreign Media Games,Adventure,0.12
From Software,Adventure,0.12
FunSoft,Racing,0.12
Game Life,Simulation,0.12
JVC,Fighting,0.12
Kadokawa Games,Misc,0.12
Koch Media,Sports,0.12
Level 5,Adventure,0.12
Midas Interactive Entertainment,Strategy,0.12
NDA Productions,Shooter,0.12
SPS,Sports,0.12
T&E Soft,Sports,0.12
Taito,Misc,0.12
Takara,Action,0.12
Ackkstudios,Sports,0.11000000000000001
Tommo,Misc,0.11000000000000001
3DO,Puzzle,0.11
3DO,Strategy,0.11
Aqua Plus,Fighting,0.11
Aqua Plus,Role-Playing,0.11
Atlus,Shooter,0.11
Atlus,Simulation,0.11
Atlus,Strategy,0.11
BAM! Entertainment,Fighting,0.11
Bohemia Interactive,Shooter,0.11
Compile Heart,Adventure,0.11
DTP Entertainment,Strategy,0.11
Data East,Adventure,0.11
Empire Interactive,Adventure,0.11
Evolved Games,Shooter,0.11
Focus Home Interactive,Strategy,0.11
From Software,Shooter,0.11
Funbox Media,Adventure,0.11
Gainax Network Systems,Adventure,0.11
Gamecock,Misc,0.11
Gameloft,Misc,0.11
Genki,Action,0.11
Global Star,Action,0.11
Jaleco,Misc,0.11
Majesco Entertainment,Role-Playing,0.11
Nordcurrent,Sports,0.11
O3 Entertainment,Simulation,0.11
PM Studios,Misc,0.11
Paradox Interactive,Role-Playing,0.11
PopTop Software,Strategy,0.11
Rage Software,Shooter,0.11
Rising Star Games,Platformer,0.11
Shogakukan,Adventure,0.11
Simon & Schuster Interactive,Sports,0.11
Success,Strategy,0.11
Sunsoft,Platformer,0.11
Swing! Entertainment,Simulation,0.11
Syscom,Racing,0.11
TOHO,Role-Playing,0.11
Time Warner Interactive,Fighting,0.11
Time Warner Interactive,Sports,0.11
Titus,Shooter,0.11
Vivendi Games,Sports,0.11
Xicat Interactive,Sports,0.11
Zoo Digital Publishing,Simulation,0.11
Asmik Ace Entertainment,Fighting,0.1
Avalon Interactive,Simulation,0.1
Broccoli,Misc,0.1
CCP,Shooter,0.1
CDV Software Entertainment,Adventure,0.1
Cave,Misc,0.1
City Interactive,Puzzle,0.1
Compile Heart,Strategy,0.1
Conspiracy Entertainment,Shooter,0.1
Core Design Ltd.,Action,0.1
Deep Silver,Platformer,0.1
Enjoy Gaming ltd.,Shooter,0.1
Funbox Media,Action,0.1
Game Factory,Platformer,0.1
GameTek,Misc,0.1
Gust,Adventure,0.1
HMH Interactive,Adventure,0.1
Idea Factory,Strategy,0.1
Ignition Entertainment,Platformer,0.1
Ignition Entertainment,Strategy,0.1
Image Epoch,Role-Playing,0.1
Interchannel,Adventure,0.1
Interplay,Simulation,0.1
Interplay Productions,Shooter,0.1
JoWood Productions,Strategy,0.1
Kemco,Misc,0.1
LEGO Media,Strategy,0.1
MTO,Racing,0.1
Marvelous Entertainment,Misc,0.1
Mastiff,Simulation,0.1
Media Rings,Racing,0.1
Micro Cabin,Role-Playing,0.1
Microsoft Game Studios,Puzzle,0.1
Natsume,Fighting,0.1
Oxygen Interactive,Puzzle,0.1
PQube,Racing,0.1
Phantom EFX,Shooter,0.1
Phenomedia,Puzzle,0.1
Pinnacle,Sports,0.1
Playlogic Game Factory,Puzzle,0.1
SNK Playmore,Adventure,0.1
Spike,Adventure,0.1
Starfish,Role-Playing,0.1
TopWare Interactive,Misc,0.1
Type-Moon,Adventure,0.1
dramatic create,Adventure,0.1
inXile Entertainment,Role-Playing,0.1
Foreign Media Games,Misc,0.09999999999999999
TGL,Adventure,0.09999999999999999
Edia,Misc,0.09000000000000001
Kadokawa Shoten,Action,0.09000000000000001
Revolution Software,Adventure,0.09000000000000001
Asmik Ace Entertainment,Simulation,0.09
Aspyr,Role-Playing,0.09
Asylum Entertainment,Simulation,0.09
Big Ben Interactive,Shooter,0.09
Culture Publishers,Puzzle,0.09
Data Design Interactive,Racing,0.09
DreamCatcher Interactive,Sports,0.09
Dusenberry Martin Racing,Racing,0.09
Empire Interactive,Role-Playing,0.09
Game Factory,Fighting,0.09
Game Factory,Racing,0.09
GameMill Entertainment,Adventure,0.09
Graffiti,Role-Playing,0.09
Griffin International,Sports,0.09
Groove Games,Shooter,0.09
Hearty Robin,Simulation,0.09
Hudson Entertainment,Sports,0.09
JVC,Racing,0.09
Media Works,Strategy,0.09
Midas Interactive Entertainment,Action,0.09
Natsume,Strategy,0.09
Nippon Amuse,Misc,0.09
Nordic Games,Sports,0.09
O3 Entertainment,Shooter,0.09
Origin Systems,Simulation,0.09
Playlogic Game Factory,Misc,0.09
Sunsoft,Puzzle,0.09
Takara Tomy,Racing,0.09
Takara Tomy,Strategy,0.09
Tecmo Koei,Platformer,0.09
Time Warner Interactive,Strategy,0.09
Tradewest,Sports,0.09
Zoo Digital Publishing,Strategy,0.09
Zushi Games,Misc,0.09
505 Games,Racing,0.08
Abylight,Action,0.08
Acquire,Strategy,0.08
Agatsuma Entertainment,Misc,0.08
Agetec,Misc,0.08
Alchemist,Shooter,0.08
Avanquest,Simulation,0.08
Banpresto,Shooter,0.08
Broccoli,Strategy,0.08
Cloud Imperium Games Corporation,Fighting,0.08
Conspiracy Entertainment,Sports,0.08
Crystal Dynamics,Sports,0.08
"Destination Software, Inc",Misc,0.08
DreamCatcher Interactive,Adventure,0.08
DreamCatcher Interactive,Shooter,0.08
Epoch,Misc,0.08
Experience Inc.,Role-Playing,0.08
Flight-Plan,Role-Playing,0.08
Glams,Strategy,0.08
Hudson Entertainment,Platformer,0.08
Infogrames,Strategy,0.08
JVC,Misc,0.08
KID,Adventure,0.08
Koch Media,Adventure,0.08
LSP Games,Platformer,0.08
Mastiff,Misc,0.08
Mercury Games,Role-Playing,0.08
Micro Cabin,Simulation,0.08
Milestone,Shooter,0.08
Mitsui,Shooter,0.08
NEC Interchannel,Strategy,0.08
Nordic Games,Adventure,0.08
Ocean,Puzzle,0.08
PQube,Shooter,0.08
Popcorn Arcade,Action,0.08
Popcorn Arcade,Racing,0.08
RTL,Simulation,0.08
Reef Entertainment,Adventure,0.08
Seventh Chord,Action,0.08
Spike,Simulation,0.08
Telegames,Strategy,0.08
Telstar,Racing,0.08
Valcon Games,Shooter,0.08
XS Games,Misc,0.08
Ackkstudios,Adventure,0.07
Altron,Shooter,0.07
Arc System Works,Action,0.07
Aria,Adventure,0.07
Astragon,Simulation,0.07
Asylum Entertainment,Platformer,0.07
Athena,Adventure,0.07
Avanquest,Sports,0.07
Blast! Entertainment Ltd,Adventure,0.07
Codemasters,Puzzle,0.07
Data Design Interactive,Misc,0.07
Elite,Simulation,0.07
Enix Corporation,Action,0.07
Enterbrain,Fighting,0.07
Evolution Games,Action,0.07
From Software,Action,0.07
GT Interactive,Simulation,0.07
Global Star,Strategy,0.07
Human Entertainment,Strategy,0.07
Kemco,Adventure,0.07
Locus,Role-Playing,0.07
Mad Catz,Simulation,0.07
Metro 3D,Platformer,0.07
Midas Interactive Entertainment,Fighting,0.07
Misawa,Sports,0.07
Natsume,Adventure,0.07
NewKidCo,Fighting,0.07
Playlogic Game Factory,Strategy,0.07
Popcorn Arcade,Platformer,0.07
Princess Soft,Adventure,0.07
Rocket Company,Sports,0.07
Sammy Corporation,Adventure,0.07
Screenlife,Fighting,0.07
Success,Action,0.07
Sunrise Interactive,Action,0.07
Take-Two Interactive,Puzzle,0.07
Tomy Corporation,Racing,0.07
Tru Blu Entertainment,Action,0.07
Vir2L Studios,Sports,0.07
Warp,Adventure,0.07
Xseed Games,Action,0.07
Zoo Games,Simulation,0.07
Zushi Games,Puzzle,0.07
Zushi Games,Strategy,0.07
Kaga Create,Action,0.06999999999999999
ASCII Media Works,Role-Playing,0.060000000000000005
Big Ben Interactive,Racing,0.060000000000000005
MLB.com,Sports,0.060000000000000005
NewKidCo,Action,0.060000000000000005
10TACLE Studios,Strategy,0.06
Activision Value,Strategy,0.06
Ascaron Entertainment GmbH,Role-Playing,0.06
City Interactive,Misc,0.06
Compile Heart,Action,0.06
Conspiracy Entertainment,Racing,0.06
Creative Core,Simulation,0.06
Crimson Cow,Action,0.06
DigiCube,Sports,0.06
ESP,Simulation,0.06
Ecole,Fighting,0.06
Falcom Corporation,Fighting,0.06
Foreign Media Games,Simulation,0.06
Fortyfive,Adventure,0.06
FuRyu,Adventure,0.06
Game Factory,Role-Playing,0.06
Gamecock,Action,0.06
Gearbox Software,Shooter,0.06
Grand Prix Games,Fighting,0.06
HAL Laboratory,Puzzle,0.06
Hudson Entertainment,Shooter,0.06
Imax,Misc,0.06
Indie Games,Adventure,0.06
Infogrames,Simulation,0.06
Irem Software Engineering,Fighting,0.06
JVC,Action,0.06
Kaga Create,Misc,0.06
LEGO Media,Platformer,0.06
MC2 Entertainment,Adventure,0.06
MTO,Action,0.06
Midas Interactive Entertainment,Role-Playing,0.06
NEC Interchannel,Simulation,0.06
Neko Entertainment,Adventure,0.06
Nordic Games,Shooter,0.06
Office Create,Simulation,0.06
Oxygen Interactive,Platformer,0.06
PQube,Sports,0.06
Pack-In-Video,Simulation,0.06
Psygnosis,Puzzle,0.06
Psygnosis,Sports,0.06
Sonnet,Misc,0.06
Starfish,Action,0.06
Success,Misc,0.06
Sunrise Interactive,Role-Playing,0.06
Sunsoft,Fighting,0.06
Take-Two Interactive,Fighting,0.06
Telstar,Shooter,0.06
Titus,Misc,0.06
Tommo,Shooter,0.06
Xseed Games,Adventure,0.06
Xseed Games,Shooter,0.06
Yumedia,Adventure,0.06
Zenrin,Misc,0.06
Zushi Games,Simulation,0.06
iWin,Puzzle,0.06
1C Company,Strategy,0.05
5pb,Shooter,0.05
ASC Games,Action,0.05
Activision Value,Action,0.05
Activision Value,Misc,0.05
Aksys Games,Action,0.05
Arc System Works,Misc,0.05
Arika,Role-Playing,0.05
Ascaron Entertainment GmbH,Strategy,0.05
Astragon,Action,0.05
Avalon Interactive,Racing,0.05
Avanquest Software,Action,0.05
Avanquest Software,Misc,0.05
Black Bean Games,Strategy,0.05
CDV Software Entertainment,Strategy,0.05
Coconuts Japan,Misc,0.05
DTP Entertainment,Puzzle,0.05
Destineer,Shooter,0.05
DreamCatcher Interactive,Platformer,0.05
ESP,Platformer,0.05
Ertain,Simulation,0.05
Focus Home Interactive,Platformer,0.05
GN Software,Adventure,0.05
Gainax Network Systems,Misc,0.05
Graffiti,Simulation,0.05
Gremlin Interactive Ltd,Platformer,0.05
Imagineer,Fighting,0.05
JVC,Shooter,0.05
JoWood Productions,Misc,0.05
Kadokawa Games,Role-Playing,0.05
Kemco,Puzzle,0.05
Kemco,Role-Playing,0.05
Marvel Entertainment,Action,0.05
Mastiff,Adventure,0.05
Max Five,Role-Playing,0.05
Media Works,Adventure,0.05
MediaQuest,Puzzle,0.05
Midas Interactive Entertainment,Platformer,0.05
Mindscape,Role-Playing,0.05
N/A,Role-Playing,0.05
Navarre Corp,Sports,0.05
Nobilis,Action,0.05
Nordcurrent,Action,0.05
Nordic Games,Role-Playing,0.05
O-Games,Adventure,0.05
PQube,Simulation,0.05
Pack-In-Video,Adventure,0.05
Phantagram,Simulation,0.05
Phenomedia,Platformer,0.05
Playlogic Game Factory,Sports,0.05
Pony Canyon,Misc,0.05
PopCap Games,Misc,0.05
Pow,Puzzle,0.05
Quinrose,Action,0.05
Russel,Action,0.05
SCi,Racing,0.05
Scholastic Inc.,Misc,0.05
Storm City Games,Sports,0.05
Sweets,Adventure,0.05
Swing! Entertainment,Action,0.05
Team17 Software,Strategy,0.05
TechnoSoft,Shooter,0.05
The Learning Company,Racing,0.05
Titus,Role-Playing,0.05
U.S. Gold,Platformer,0.05
UFO Interactive,Sports,0.05
Vap,Misc,0.05
WayForward Technologies,Adventure,0.05
Yuke's,Fighting,0.05
1C Company,Racing,0.04
2D Boy,Puzzle,0.04
5pb,Fighting,0.04
5pb,Simulation,0.04
7G//AMES,Simulation,0.04
Aerosoft,Simulation,0.04
Agetec,Racing,0.04
Alawar Entertainment,Strategy,0.04
Alvion,Misc,0.04
Asmik Ace Entertainment,Adventure,0.04
Avalon Interactive,Shooter,0.04
Banpresto,Platformer,0.04
Banpresto,Racing,0.04
Blast! Entertainment Ltd,Sports,0.04
ChunSoft,Action,0.04
Conspiracy Entertainment,Puzzle,0.04
CyberFront,Misc,0.04
D3Publisher,Strategy,0.04
DHM Interactive,Shooter,0.04
DSI Games,Action,0.04
Data East,Role-Playing,0.04
"Destination Software, Inc",Action,0.04
Electronic Arts Victor,Action,0.04
Enterbrain,Simulation,0.04
Essential Games,Strategy,0.04
Flashpoint Games,Action,0.04
Flashpoint Games,Platformer,0.04
Flight-Plan,Strategy,0.04
FuRyu Corporation,Action,0.04
FuRyu Corporation,Sports,0.04
Gakken,Misc,0.04
Games Workshop,Action,0.04
Genki,Sports,0.04
Graffiti,Shooter,0.04
GungHo,Misc,0.04
Hudson Entertainment,Role-Playing,0.04
Iceberg Interactive,Role-Playing,0.04
Iceberg Interactive,Strategy,0.04
Ignition Entertainment,Adventure,0.04
Imagineer,Racing,0.04
Introversion Software,Action,0.04
Ivolgamus,Puzzle,0.04
Jester Interactive,Misc,0.04
JoWood Productions,Platformer,0.04
JoWood Productions,Puzzle,0.04
Kalypso Media,Adventure,0.04
Kool Kizz,Strategy,0.04
Legacy Interactive,Adventure,0.04
Licensed 4U,Action,0.04
Media Works,Misc,0.04
Microids,Sports,0.04
Monte Christo Multimedia,Simulation,0.04
N/A,Shooter,0.04
Natsume,Misc,0.04
Nippon Ichi Software,Strategy,0.04
Ocean,Misc,0.04
PQube,Misc,0.04
Playmore,Fighting,0.04
Popcorn Arcade,Shooter,0.04
Rage Software,Puzzle,0.04
Rebellion Developments,Action,0.04
Red Storm Entertainment,Action,0.04
Reef Entertainment,Sports,0.04
Riverhillsoft,Simulation,0.04
Rocket Company,Simulation,0.04
Rondomedia,Misc,0.04
Russel,Adventure,0.04
Societa,Adventure,0.04
Sold Out,Action,0.04
Starfish,Shooter,0.04
Storm City Games,Misc,0.04
Summitsoft,Sports,0.04
System 3 Arcade Software,Sports,0.04
Time Warner Interactive,Shooter,0.04
Tommo,Sports,0.04
Virgin Interactive,Misc,0.04
Virtual Play Games,Misc,0.04
Yamasa Entertainment,Misc,0.04
Zushi Games,Adventure,0.04
10TACLE Studios,Puzzle,0.03
49Games,Sports,0.03
5pb,Role-Playing,0.03
ASK,Misc,0.03
Agatsuma Entertainment,Platformer,0.03
Agetec,Strategy,0.03
Angel Studios,Strategy,0.03
Asgard,Action,0.03
Aspyr,Adventure,0.03
Atlus,Adventure,0.03
Atlus,Platformer,0.03
BMG Interactive Entertainment,Sports,0.03
Berkeley,Action,0.03
Big Fish Games,Action,0.03
Broccoli,Fighting,0.03
Broccoli,Simulation,0.03
BushiRoad,Adventure,0.03
CDV Software Entertainment,Puzzle,0.03
Compile,Role-Playing,0.03
Conspiracy Entertainment,Platformer,0.03
Conspiracy Entertainment,Simulation,0.03
Creative Core,Adventure,0.03
Culture Brain,Role-Playing,0.03
CyberFront,Role-Playing,0.03
CyberFront,Strategy,0.03
Cygames,Platformer,0.03
Datam Polystar,Adventure,0.03
"Destination Software, Inc",Role-Playing,0.03
Devolver Digital,Puzzle,0.03
Dorart,Misc,0.03
ESP,Fighting,0.03
ESP,Shooter,0.03
Easy Interactive,Puzzle,0.03
Encore,Action,0.03
Evolved Games,Platformer,0.03
Extreme Entertainment Group,Role-Playing,0.03
Fields,Misc,0.03
Focus Multimedia,Puzzle,0.03
FuRyu,Simulation,0.03
FuRyu Corporation,Adventure,0.03
Fuji,Adventure,0.03
G.Rev,Fighting,0.03
HMH Interactive,Misc,0.03
Headup Games,Adventure,0.03
Her Interactive,Adventure,0.03
Hip Interactive,Shooter,0.03
Hudson Entertainment,Puzzle,0.03
Hudson Soft,Strategy,0.03
Irem Software Engineering,Shooter,0.03
Irem Software Engineering,Strategy,0.03
Just Flight,Simulation,0.03
KSS,Misc,0.03
Kamui,Misc,0.03
Kando Games,Simulation,0.03
Kids Station,Adventure,0.03
Koch Media,Puzzle,0.03
Kokopeli Digital Studios,Fighting,0.03
LSP Games,Action,0.03
Level 5,Misc,0.03
Lexicon Entertainment,Simulation,0.03
Mad Catz,Sports,0.03
Mamba Games,Adventure,0.03
Marvelous Interactive,Misc,0.03
Mastertronic,Adventure,0.03
Maximum Family Games,Action,0.03
Midas Interactive Entertainment,Misc,0.03
Minato Station,Adventure,0.03
Mindscape,Adventure,0.03
Neko Entertainment,Misc,0.03
Nexon,Role-Playing,0.03
Nobilis,Adventure,0.03
Number None,Platformer,0.03
O-Games,Shooter,0.03
Paon Corporation,Misc,0.03
Paradox Interactive,Misc,0.03
Phenomedia,Racing,0.03
Pinnacle,Puzzle,0.03
Pinnacle,Strategy,0.03
Play It,Platformer,0.03
Prototype,Action,0.03
Psygnosis,Misc,0.03
Psygnosis,Platformer,0.03
RTL,Racing,0.03
Rocket Company,Adventure,0.03
Seta Corporation,Sports,0.03
Stainless Games,Action,0.03
Storm City Games,Adventure,0.03
Strategy First,Strategy,0.03
Sunflowers,Strategy,0.03
Sunsoft,Misc,0.03
Swing! Entertainment,Platformer,0.03
System Soft,Strategy,0.03
TDK Core,Simulation,0.03
Tomy Corporation,Misc,0.03
Tryfirst,Fighting,0.03
Valcon Games,Simulation,0.03
Vir2L Studios,Racing,0.03
Wanadoo,Platformer,0.03
Xicat Interactive,Racing,0.03
Xicat Interactive,Role-Playing,0.03
Yuke's,Racing,0.03
bitComposer Games,Racing,0.03
id Software,Shooter,0.03
imageepoch Inc.,Role-Playing,0.03
10TACLE Studios,Adventure,0.02
7G//AMES,Misc,0.02
Alawar Entertainment,Action,0.02
Alchemist,Role-Playing,0.02
Alternative Software,Action,0.02
Arika,Misc,0.02
Arika,Shooter,0.02
Athena,Sports,0.02
Atlus,Misc,0.02
Big Ben Interactive,Adventure,0.02
Big Ben Interactive,Platformer,0.02
Big Fish Games,Adventure,0.02
Bigben Interactive,Adventure,0.02
Blue Byte,Strategy,0.02
CTO SpA,Sports,0.02
Cave,Action,0.02
Coconuts Japan,Adventure,0.02
Codemasters Online,Role-Playing,0.02
Comfort,Action,0.02
Crimson Cow,Adventure,0.02
Culture Brain,Adventure,0.02
Culture Brain,Misc,0.02
CyberFront,Action,0.02
DHM Interactive,Puzzle,0.02
DSI Games,Simulation,0.02
DSI Games,Sports,0.02
Destineer,Platformer,0.02
