bigram,n,total_sentiment
bomb overkill,2,negative
bomb sadly,2,negative
bomb silly,2,negative
bomb threat,2,negative
bomb threats,2,negative
bombard enemies,2,negative
bonkers stupid,2,negative
bonus bad,2,negative
bonus cons,2,negative
bonus dungeon,2,negative
bonus dungeons,2,negative
bonus hate,2,negative
bonus kill,2,negative
bonus mysteriously,2,negative
bonuses cons,2,negative
bonuses lack,2,negative
bonuses unavailable,2,negative
boom freeze,2,negative
boom martyrdom,2,negative
boom stuttering,2,negative
boost attack,2,negative
boost buggy,2,negative
boost glitch,2,negative
boost messes,2,negative
boost needless,2,negative
boost rip,2,negative
boost ruins,2,negative
boost smash,2,negative
bore sadly,2,negative
bored angry,2,negative
bored confused,2,negative
bored lost,2,negative
bored mad,2,negative
bored painfully,2,negative
bored sadly,2,negative
bored stuck,2,negative
bored zombie,2,negative
boredom cons,2,negative
boredom killer,2,negative
boredom pain,2,negative
boredom terrible,2,negative
boring absence,2,negative
boring arbitrary,2,negative
boring aweful,2,negative
boring barren,2,negative
boring brutal,2,negative
boring bug,2,negative
boring burning,2,negative
boring chaos,2,negative
boring choppy,2,negative
boring crash,2,negative
boring crashed,2,negative
boring detract,2,negative
boring die,2,negative
boring disapointing,2,negative
boring distraction,2,negative
boring drab,2,negative
boring emptiness,2,negative
boring evade,2,negative
boring excessively,2,negative
boring failed,2,negative
boring failure,2,negative
boring fake,2,negative
boring flawed,2,negative
boring fruitless,2,negative
boring grating,2,negative
boring hassle,2,negative
boring hollow,2,negative
boring illogical,2,negative
boring immature,2,negative
boring impossible,2,negative
boring incomplete,2,negative
boring inconsequential,2,negative
boring ineffective,2,negative
boring inept,2,negative
boring inexperienced,2,negative
boring insanely,2,negative
boring joke,2,negative
boring lethargic,2,negative
boring losing,2,negative
boring melodramatic,2,negative
boring misleading,2,negative
boring mobster,2,negative
boring monotony,2,negative
boring nightmare,2,negative
boring noise,2,negative
boring nonexistent,2,negative
boring nuisance,2,negative
boring obnoxious,2,negative
boring offensive,2,negative
boring overwhelmingly,2,negative
boring primitive,2,negative
boring rollercoaster,2,negative
boring rude,2,negative
boring ruining,2,negative
boring scarce,2,negative
boring sneak,2,negative
boring stereotype,2,negative
boring strike,2,negative
boring toxic,2,negative
boring trivial,2,negative
boring ugh,2,negative
boring unclear,2,negative
boring unexpected,2,negative
boring unexplained,2,negative
boring unstable,2,negative
bother buggy,2,negative
bother clunky,2,negative
bother cons,2,negative
bother mysteriously,2,negative
bother struggling,2,negative
bother unfinished,2,negative
bothersome errors,2,negative
boycott missed,2,negative
brainless angry,2,negative
brainless crap,2,negative
brainless greedy,2,negative
brainless headache,2,negative
brainless horde,2,negative
brainless idiots,2,negative
brainless mindless,2,negative
brainless morons,2,negative
brainless stupid,2,negative
brave dirty,2,negative
bravo slow,2,negative
break abruptly,2,negative
break attacks,2,negative
break bad,2,negative
break bugs,2,negative
break fragile,2,negative
break stuttering,2,negative
breaking absurdity,2,negative
breaking annoyance,2,negative
breaking annoyances,2,negative
breaking annoying,2,negative
breaking buggy,2,negative
breaking cheats,2,negative
breaking cons,2,negative
breaking difficulty,2,negative
breaking eyesore,2,negative
breaking fail,2,negative
breaking failures,2,negative
breaking garbage,2,negative
breaking hell,2,negative
breaking horrible,2,negative
breaking loot,2,negative
breaking mess,2,negative
breaking mistake,2,negative
breaking oddities,2,negative
breaking oversight,2,negative
breaking oversights,2,negative
breaking ridiculous,2,negative
breaking sad,2,negative
breaking smash,2,negative
breaks bugs,2,negative
breaks confusing,2,negative
breaks slowly,2,negative
breathtakingly bad,2,negative
breathtakingly stupid,2,negative
breathtakingly weak,2,negative
bright garish,2,negative
bright shallow,2,negative
bright throbbing,2,negative
bright ugly,2,negative
brilliant bad,2,negative
brilliant complicated,2,negative
brilliant dark,2,negative
brilliant hard,2,negative
brilliant idiots,2,negative
brilliant lunatic,2,negative
brilliant mess,2,negative
brilliantly funny,2,negative
broke recoil,2,negative
broke shit,2,negative
broken antiquated,2,negative
broken arbitrary,2,negative
broken awkward,2,negative
broken battered,2,negative
broken breaking,2,negative
broken buzzing,2,negative
broken cheat,2,negative
broken depressed,2,negative
broken disregard,2,negative
broken downgrade,2,negative
broken dumb,2,negative
broken error,2,negative
broken fatal,2,negative
broken flawed,2,negative
broken foul,2,negative
broken freezing,2,negative
broken funny,2,negative
broken gimmicky,2,negative
broken hard,2,negative
broken harpy,2,negative
broken jerky,2,negative
broken joke,2,negative
broken killing,2,negative
broken limited,2,negative
broken loose,2,negative
broken losing,2,negative
broken lost,2,negative
broken lying,2,negative
broken needless,2,negative
broken nightmare,2,negative
broken overkill,2,negative
broken pandemonium,2,negative
broken passive,2,negative
broken shambles,2,negative
broken stress,2,negative
broken stuttering,2,negative
broken sucks,2,negative
broken tanks,2,negative
broken threat,2,negative
broken tragic,2,negative
broken ugh,2,negative
broken unacceptable,2,negative
broken unbearable,2,negative
broken warning,2,negative
bruised bloody,2,negative
brutal bad,2,negative
brutal bloody,2,negative
brutal dark,2,negative
brutal deadly,2,negative
brutal frustrating,2,negative
brutal kills,2,negative
brutal rogue,2,negative
brutal slap,2,negative
brutal slaughter,2,negative
brutal slog,2,negative
brutal taunt,2,negative
brutally annoying,2,negative
brutally awful,2,negative
brutally cheap,2,negative
brutally disappointed,2,negative
brutally dishonest,2,negative
brutally drags,2,negative
brutally dumb,2,negative
brutally horrible,2,negative
brutally hurt,2,negative
brutally mangled,2,negative
brutally overpriced,2,negative
brutally racist,2,negative
brutally rough,2,negative
brutally stab,2,negative
brutally tedious,2,negative
brute struggle,2,negative
bs annoying,2,negative
bs arbitrary,2,negative
bs broken,2,negative
bs bugs,2,negative
bs cheating,2,negative
bs difficulty,2,negative
bs fail,2,negative
bs hype,2,negative
bs issues,2,negative
bs killer,2,negative
bs kills,2,negative
bs lag,2,negative
bs poorly,2,negative
bs regret,2,negative
bs shame,2,negative
bs sucks,2,negative
bs trash,2,negative
bug bothering,2,negative
bug break,2,negative
bug bugging,2,negative
bug cheater,2,negative
bug confuses,2,negative
bug cons,2,negative
bug corrupted,2,negative
bug corrupts,2,negative
bug disaster,2,negative
bug fail,2,negative
bug flaw,2,negative
bug froze,2,negative
bug hack,2,negative
bug hell,2,negative
bug inevitably,2,negative
bug infected,2,negative
bug lack,2,negative
bug mania,2,negative
bug massacre,2,negative
bug mess,2,negative
bug miss,2,negative
bug obliterate,2,negative
bug overkill,2,negative
bug oversight,2,negative
bug sadly,2,negative
bug scam,2,negative
bug screwed,2,negative
bug spoils,2,negative
bug squash,2,negative
bug ugly,2,negative
bug unable,2,negative
bugging freezing,2,negative
buggy attacks,2,negative
buggy broke,2,negative
buggy cheats,2,negative
buggy complicated,2,negative
buggy confused,2,negative
buggy damage,2,negative
buggy dungeon,2,negative
buggy excuse,2,negative
buggy failure,2,negative
buggy falling,2,negative
buggy freezing,2,negative
buggy frustratingly,2,negative
buggy grind,2,negative
buggy impossible,2,negative
buggy infuriatingly,2,negative
buggy insane,2,negative
buggy jerky,2,negative
buggy lacked,2,negative
buggy lazy,2,negative
buggy loot,2,negative
buggy mediocre,2,negative
buggy messy,2,negative
buggy oddly,2,negative
buggy overpriced,2,negative
buggy plot,2,negative
buggy questionable,2,negative
buggy rage,2,negative
buggy randomly,2,negative
buggy rip,2,negative
buggy ripoff,2,negative
buggy sad,2,negative
buggy shame,2,negative
buggy sick,2,negative
buggy simplistic,2,negative
buggy slog,2,negative
buggy stupidly,2,negative
buggy sucks,2,negative
buggy trashy,2,negative
buggy ugh,2,negative
buggy untested,2,negative
buggy vile,2,negative
bugs abuse,2,negative
bugs blatant,2,negative
bugs blunt,2,negative
bugs breaks,2,negative
bugs buggy,2,negative
bugs cheap,2,negative
bugs cheater,2,negative
bugs corrupted,2,negative
bugs crazy,2,negative
bugs creep,2,negative
bugs crushing,2,negative
bugs dead,2,negative
bugs death,2,negative
bugs defects,2,negative
bugs delay,2,negative
bugs delayed,2,negative
bugs delays,2,negative
bugs die,2,negative
bugs died,2,negative
bugs disappointed,2,negative
bugs disgusting,2,negative
bugs failures,2,negative
bugs faults,2,negative
bugs faulty,2,negative
bugs frustrated,2,negative
bugs idiots,2,negative
bugs ignore,2,negative
bugs insane,2,negative
bugs irritated,2,negative
bugs jerky,2,negative
bugs lie,2,negative
bugs losing,2,negative
bugs missed,2,negative
bugs monster,2,negative
bugs obnoxious,2,negative
bugs outrageous,2,negative
bugs pity,2,negative
bugs pricey,2,negative
bugs questionable,2,negative
bugs rampant,2,negative
bugs rip,2,negative
bugs rubbish,2,negative
bugs sap,2,negative
bugs shallow,2,negative
bugs shortcomings,2,negative
bugs silly,2,negative
bugs sneak,2,negative
bugs strangely,2,negative
bugs strike,2,negative
bugs stutter,2,negative
bugs stutters,2,negative
bugs trash,2,negative
bugs unfriendly,2,negative
bugs unreliable,2,negative
bugs unresponsive,2,negative
bugs useless,2,negative
bugs virus,2,negative
bugs wild,2,negative
bugs wildly,2,negative
bulky slow,2,negative
bully broken,2,negative
bullying suicide,2,negative
bum crashes,2,negative
bump attack,2,negative
bumpy issues,2,negative
burn death,2,negative
burn freeze,2,negative
burn knock,2,negative
burn overkill,2,negative
burned bad,2,negative
burned killed,2,negative
burning enemies,2,negative
burning hate,2,negative
burning poison,2,negative
burning rage,2,negative
burning zombie,2,negative
butcher bomb,2,negative
buzzing alarm,2,negative
callous disregard,2,negative
calm slow,2,negative
cancer bad,2,negative
cancer cheater,2,negative
cancer cons,2,negative
cancer ignore,2,negative
cancer infested,2,negative
cancer killed,2,negative
cancer kills,2,negative
cancer overweight,2,negative
cancer ruining,2,negative
cancer sadly,2,negative
cancer slowly,2,negative
cancer suck,2,negative
cancer taunt,2,negative
cancer worse,2,negative
cancerous blister,2,negative
cancerous grind,2,negative
cancerous terrible,2,negative
cancerous toxic,2,negative
cancerous trash,2,negative
capability sucks,2,negative
captivating falls,2,negative
carnage onslaught,2,negative
carp wasted,2,negative
cartoonish caricature,2,negative
cartoonish childish,2,negative
cartoonish darkness,2,negative
cartoonish stupid,2,negative
cartoonish unrealistic,2,negative
cataclysm dark,2,negative
catastrophic error,2,negative
catastrophic issues,2,negative
catastrophic lack,2,negative
catastrophic lag,2,negative
catastrophic longing,2,negative
catastrophic loss,2,negative
catastrophically broken,2,negative
cave cave,2,negative
cave dark,2,negative
cave prison,2,negative
chaff enemies,2,negative
challenging bad,2,negative
challenging brutal,2,negative
challenging difficulties,2,negative
challenging frustrating,2,negative
challenging hype,2,negative
challenging lack,2,negative
challenging repetitive,2,negative
challenging terrible,2,negative
champion enemies,2,negative
chaos demon,2,negative
chaos disappointingly,2,negative
chaos imbalance,2,negative
chaotic bad,2,negative
chaotic cheap,2,negative
chaotic enemies,2,negative
chaotic hard,2,negative
chaotic mediocre,2,negative
chaotic stupid,2,negative
chaotic unforgiving,2,negative
charisma repetitive,2,negative
charm bad,2,negative
charm cons,2,negative
charm dull,2,negative
charm intimidate,2,negative
charm sadly,2,negative
charmingly bad,2,negative
charmingly crazy,2,negative
charmingly dumb,2,negative
cheap angry,2,negative
cheap awful,2,negative
cheap bland,2,negative
cheap blatant,2,negative
cheap bored,2,negative
cheap bug,2,negative
cheap buggy,2,negative
cheap cheating,2,negative
cheap crack,2,negative
cheap cynical,2,negative
cheap difficult,2,negative
cheap dirt,2,negative
cheap dull,2,negative
cheap dumb,2,negative
cheap glitches,2,negative
cheap grind,2,negative
cheap illogical,2,negative
cheap insult,2,negative
cheap loot,2,negative
cheap loser,2,negative
cheap loud,2,negative
cheap negatives,2,negative
cheap pandering,2,negative
cheap poor,2,negative
cheap rubbish,2,negative
cheap sad,2,negative
cheap sadly,2,negative
cheap scam,2,negative
cheap shallow,2,negative
cheap shoddy,2,negative
cheap silly,2,negative
cheap smoke,2,negative
cheap tanks,2,negative
cheap thoughtless,2,negative
cheap tricky,2,negative
cheap twists,2,negative
cheap weak,2,negative
cheap weird,2,negative
cheaper enemies,2,negative
cheaper knock,2,negative
cheaper shame,2,negative
cheaper slow,2,negative
cheapest monster,2,negative
cheat blatantly,2,negative
cheat bs,2,negative
cheat crack,2,negative
cheat horrible,2,negative
cheat kill,2,negative
cheat killer,2,negative
cheat pathetic,2,negative
cheat ruined,2,negative
cheat sadly,2,negative
cheat trash,2,negative
cheated damn,2,negative
cheated heck,2,negative
cheated overkill,2,negative
cheater cancer,2,negative
cheater issue,2,negative
cheater plague,2,negative
cheater ruined,2,negative
cheater ruining,2,negative
cheating abuse,2,negative
cheating awful,2,negative
cheating opponent,2,negative
cheating overkill,2,negative
cheating poor,2,negative
cheating prick,2,negative
cheating ruins,2,negative
cheating stupid,2,negative
cheating terrible,2,negative
cheating warning,2,negative
cheating worst,2,negative
cheats bad,2,negative
cheats bugs,2,negative
cheats horrendously,2,negative
cheats stupid,2,negative
cheats terrible,2,negative
cheats terribly,2,negative
cheesy awkward,2,negative
cheesy cliche,2,negative
cheesy cliched,2,negative
cheesy clunky,2,negative
cheesy damn,2,negative
cheesy death,2,negative
cheesy joke,2,negative
cheesy mad,2,negative
cheesy parody,2,negative
cheesy trash,2,negative
childish bad,2,negative
childish bickering,2,negative
childish funny,2,negative
childish garbage,2,negative
childish greedy,2,negative
childish hysterical,2,negative
childish overwhelmingly,2,negative
childish pathetic,2,negative
childish poorly,2,negative
childish temper,2,negative
childish terrible,2,negative
chill cons,2,negative
chilly cold,2,negative
chintzy wreck,2,negative
choke enemies,2,negative
choppy clunky,2,negative
choppy crashes,2,negative
choppy garbage,2,negative
choppy horrid,2,negative
choppy inconsistent,2,negative
choppy jerky,2,negative
choppy jumpy,2,negative
choppy poor,2,negative
choppy poorly,2,negative
choppy stuttered,2,negative
choppy terrible,2,negative
chore attack,2,negative
chore bad,2,negative
chore cons,2,negative
chore death,2,negative
chore hard,2,negative
chore lack,2,negative
chore poor,2,negative
chore silly,2,negative
chore tank,2,negative
chore worst,2,negative
chronic illness,2,negative
chronic wasting,2,negative
clarity sucks,2,negative
clash hard,2,negative
classic blunder,2,negative
classic cliche,2,negative
classic cons,2,negative
classic crappy,2,negative
classic crash,2,negative
classic crush,2,negative
classic demon,2,negative
classic enemy,2,negative
classic fear,2,negative
classic flair,2,negative
classic gangster,2,negative
classic grind,2,negative
classic horde,2,negative
classic hype,2,negative
classic limited,2,negative
classic lost,2,negative
classic mystery,2,negative
classic nemesis,2,negative
classic nonsense,2,negative
classic overkill,2,negative
classic plot,2,negative
classic poor,2,negative
classic risk,2,negative
classic shame,2,negative
classic terrible,2,negative
clean kill,2,negative
cleared dark,2,negative
cleared unable,2,negative
clever clogs,2,negative
clever cons,2,negative
clever fell,2,negative
clever gimmicks,2,negative
clever insult,2,negative
clever intense,2,negative
clever manipulation,2,negative
clever ploy,2,negative
clever satirical,2,negative
clever stuck,2,negative
cleverly unexpected,2,negative
cliche annoying,2,negative
cliche awkward,2,negative
cliche cringe,2,negative
cliche mess,2,negative
cliche mystery,2,negative
cliche notoriously,2,negative
cliched absurd,2,negative
cliched boring,2,negative
cliched cliche,2,negative
cliched enemies,2,negative
cliched forbidden,2,negative
cliched mess,2,negative
cliched poorly,2,negative
cliched twists,2,negative
cloud conflict,2,negative
cloud corrupts,2,negative
cloud excuse,2,negative
clueless moron,2,negative
clumsy adulteration,2,negative
clumsy assassin,2,negative
clumsy chore,2,negative
clumsy confusing,2,negative
clumsy drag,2,negative
clumsy flimsy,2,negative
clumsy frustrating,2,negative
clumsy horrible,2,negative
clumsy idiot,2,negative
clumsy limited,2,negative
clumsy mess,2,negative
clumsy moronic,2,negative
clumsy ugly,2,negative
clunky bloated,2,negative
clunky bug,2,negative
clunky chunky,2,negative
clunky cliche,2,negative
clunky delayed,2,negative
clunky devil,2,negative
clunky glitch,2,negative
clunky glitches,2,negative
clunky heartless,2,negative
clunky inconsistent,2,negative
clunky kill,2,negative
clunky lack,2,negative
clunky lacking,2,negative
clunky loose,2,negative
clunky needlessly,2,negative
clunky nightmare,2,negative
clunky ripoff,2,negative
clunky sadly,2,negative
clunky shallow,2,negative
clunky tanks,2,negative
clunky unattractive,2,negative
clunky unforgiving,2,negative
clunky unfriendly,2,negative
clunky unwieldy,2,negative
clunky waste,2,negative
clunky worst,2,negative
cocky dumb,2,negative
coercion penalty,2,negative
coherent fiction,2,negative
cold attack,2,negative
cold bitter,2,negative
cold freezing,2,negative
cold gloomy,2,negative
cold heartless,2,negative
cold impossible,2,negative
cold lack,2,negative
cold lifeless,2,negative
cold lonely,2,negative
cold murderer,2,negative
cold ruthless,2,negative
cold shock,2,negative
cold slap,2,negative
cold slow,2,negative
cold uncaring,2,negative
cold wrong,2,negative
collapse dead,2,negative
colorful bad,2,negative
colorful bloody,2,negative
colorful crap,2,negative
colorful enemies,2,negative
comfortable messing,2,negative
comfortably hatred,2,negative
comical enemies,2,negative
comical errors,2,negative
comical failure,2,negative
comical glitches,2,negative
comical mess,2,negative
competitive breaking,2,negative
competitive enemies,2,negative
competitive hard,2,negative
competitive idiots,2,negative
competitive opponent,2,negative
competitive rust,2,negative
competitive unbelievable,2,negative
competitive worst,2,negative
complained issue,2,negative
complaint bugs,2,negative
complaint lies,2,negative
complaints belittled,2,negative
complaints boil,2,negative
complaints cons,2,negative
complaints fall,2,negative
complaints stupid,2,negative
complaints tank,2,negative
complex buggy,2,negative
complex conspiracy,2,negative
complex hate,2,negative
complex slow,2,negative
complex tedious,2,negative
complex twist,2,negative
complex unusual,2,negative
complicated bad,2,negative
complicated bs,2,negative
complicated chore,2,negative
complicated complicated,2,negative
complicated crap,2,negative
complicated nonsense,2,negative
complicated poorly,2,negative
complicated tedious,2,negative
complicated terrible,2,negative
complimentary negative,2,negative
comprehensive breakdown,2,negative
comprehensive hard,2,negative
concede lost,2,negative
concerns waste,2,negative
conflicted confused,2,negative
conflicting extremist,2,negative
confront kill,2,negative
confuse bad,2,negative
confuse enemies,2,negative
confused cheating,2,negative
confused lost,2,negative
confuses damage,2,negative
confusing awkward,2,negative
confusing badly,2,negative
confusing bland,2,negative
confusing bugs,2,negative
confusing cheap,2,negative
confusing confused,2,negative
confusing confusing,2,negative
confusing dark,2,negative
confusing difficult,2,negative
confusing dull,2,negative
confusing inefficient,2,negative
confusing issues,2,negative
confusing junk,2,negative
confusing lacking,2,negative
confusing lame,2,negative
confusing limitations,2,negative
confusing lost,2,negative
confusing misleading,2,negative
confusing nonsense,2,negative
confusing overwhelming,2,negative
confusing silly,2,negative
confusing split,2,negative
confusing strange,2,negative
confusing stupid,2,negative
confusing useless,2,negative
confusion tension,2,negative
congratulate irrational,2,negative
cons bleak,2,negative
cons cliched,2,negative
cons crashing,2,negative
cons crazy,2,negative
cons damage,2,negative
cons delayed,2,negative
cons dungeons,2,negative
cons dying,2,negative
cons error,2,negative
cons excessive,2,negative
cons excessively,2,negative
cons fail,2,negative
cons false,2,negative
cons flawed,2,negative
cons freezes,2,negative
cons gripes,2,negative
cons idiotic,2,negative
cons inarticulate,2,negative
cons invisible,2,negative
cons issues,2,negative
cons jittery,2,negative
cons kills,2,negative
cons laughable,2,negative
cons lose,2,negative
cons loud,2,negative
cons lousy,2,negative
cons muddy,2,negative
cons needless,2,negative
cons negatives,2,negative
cons obscure,2,negative
cons overwhelm,2,negative
cons pricey,2,negative
cons primitive,2,negative
cons profanity,2,negative
cons rail,2,negative
cons ruined,2,negative
cons scarce,2,negative
cons shady,2,negative
cons stale,2,negative
cons stupidly,2,negative
cons stuttering,2,negative
cons trouble,2,negative
cons ugh,2,negative
cons unfriendly,2,negative
cons unhealthy,2,negative
cons unnecessary,2,negative
cons unrealistic,2,negative
cons vague,2,negative
cons vile,2,negative
cons warning,2,negative
cons worthless,2,negative
consistent annoyance,2,negative
consistent damage,2,negative
consistent difficulty,2,negative
consistent freezing,2,negative
consistent glitches,2,negative
consistent inconsistencies,2,negative
consistent irrelevant,2,negative
consistent lies,2,negative
consistent loss,2,negative
consistently abused,2,negative
consistently awful,2,negative
consistently bumping,2,negative
consistently challenging,2,negative
consistently damage,2,negative
consistently die,2,negative
consistently disappointing,2,negative
consistently dying,2,negative
consistently freeze,2,negative
consistently frustrated,2,negative
consistently frustrating,2,negative
consistently loses,2,negative
consistently lost,2,negative
consistently miss,2,negative
consistently missed,2,negative
consistently refuses,2,negative
consistently sloppy,2,negative
consistently suffers,2,negative
consistently wrong,2,negative
conspicuous lack,2,negative
conspiracy conspiracy,2,negative
conspiracy rubbish,2,negative
contaminated loot,2,negative
contradictory fooled,2,negative
contradictory nonsense,2,negative
contrived lazy,2,negative
contrived melodramatic,2,negative
contrived nonsense,2,negative
contrived poorly,2,negative
controversial hype,2,negative
controversial issues,2,negative
controversy bait,2,negative
controversy conspiracy,2,negative
convenient sad,2,negative
conveniently failed,2,negative
conveniently lost,2,negative
convincing illusion,2,negative
convoluted complicated,2,negative
convoluted confused,2,negative
convoluted confusing,2,negative
convoluted garbage,2,negative
convoluted revenge,2,negative
convoluted trash,2,negative
cool assassin,2,negative
cool assault,2,negative
cool attack,2,negative
cool blow,2,negative
cool breaks,2,negative
cool cartoonish,2,negative
cool cloud,2,negative
cool cold,2,negative
cool conspiracy,2,negative
cool destruction,2,negative
cool difficulty,2,negative
cool doom,2,negative
cool dungeon,2,negative
cool dust,2,negative
cool evil,2,negative
cool glitch,2,negative
cool loose,2,negative
cool loud,2,negative
cool mysterious,2,negative
cool negatives,2,negative
cool poorly,2,negative
cool prison,2,negative
cool queer,2,negative
cool silly,2,negative
cool spooky,2,negative
cool tricky,2,negative
cool useless,2,negative
coolest gimmicks,2,negative
cooperative zombie,2,negative
correct attack,2,negative
correct crashing,2,negative
correct hell,2,negative
correctly enemy,2,negative
correctly hell,2,negative
correctly impossible,2,negative
correctly sadly,2,negative
correctly terrible,2,negative
correctly waste,2,negative
corrosive shock,2,negative
corrupt greedy,2,negative
corrupt issue,2,negative
corrupt vicious,2,negative
corrupt worst,2,negative
corrupted crashes,2,negative
corrupting bugs,2,negative
corruption error,2,negative
costly mistake,2,negative
coward blasted,2,negative
crack crumble,2,negative
cramped mess,2,negative
cramped tedious,2,negative
crap annoyed,2,negative
crap blah,2,negative
crap blow,2,negative
crap breaks,2,negative
crap bug,2,negative
crap choppy,2,negative
crap crash,2,negative
crap crashed,2,negative
crap crashing,2,negative
crap crazy,2,negative
crap damn,2,negative
crap death,2,negative
crap disappointed,2,negative
crap dumb,2,negative
crap enemy,2,negative
crap error,2,negative
crap fail,2,negative
crap falling,2,negative
crap funny,2,negative
crap grind,2,negative
crap hack,2,negative
crap hard,2,negative
crap issues,2,negative
crap lame,2,negative
crap lazy,2,negative
crap losing,2,negative
crap mystery,2,negative
crap overpriced,2,negative
crap plot,2,negative
crap randomly,2,negative
crap repetitive,2,negative
crap ridiculous,2,negative
crap ruins,2,negative
crap tank,2,negative
crap trap,2,negative
crap unnecessary,2,negative
crap unrealistic,2,negative
crap useless,2,negative
crappy awful,2,negative
crappy bad,2,negative
crappy bug,2,negative
crappy cartoonish,2,negative
crappy cheesy,2,negative
crappy dark,2,negative
crappy dead,2,negative
crappy delayed,2,negative
crappy enemy,2,negative
crappy errors,2,negative
crappy glitches,2,negative
crappy greedy,2,negative
crappy hard,2,negative
crappy knife,2,negative
crappy lousy,2,negative
crappy poorly,2,negative
crappy rude,2,negative
crappy shady,2,negative
crappy shit,2,negative
crappy shoddy,2,negative
crappy simplistic,2,negative
crappy ugly,2,negative
crappy weird,2,negative
crash badly,2,negative
crash corrupt,2,negative
crash crap,2,negative
crash crashed,2,negative
crash crazy,2,negative
crash freezes,2,negative
crash froze,2,negative
crash glitches,2,negative
crash hangs,2,negative
crash heck,2,negative
crash hell,2,negative
crash horrible,2,negative
crash lack,2,negative
crash lose,2,negative
crash nonsense,2,negative
crash ruin,2,negative
crash ruins,2,negative
crash sick,2,negative
crash stutter,2,negative
crash terrible,2,negative
crash ugh,2,negative
crash unstable,2,negative
crashed bad,2,negative
crashed crash,2,negative
crashed died,2,negative
crashed disappointed,2,negative
crashed fatal,2,negative
crashed horrible,2,negative
crashed rage,2,negative
crashed unexpectedly,2,negative
crashed unknown,2,negative
crashed waste,2,negative
crashes annoyances,2,negative
crashes blah,2,negative
crashes boring,2,negative
crashes bug,2,negative
crashes bully,2,negative
crashes burns,2,negative
crashes crap,2,negative
crashes dark,2,negative
crashes disabled,2,negative
crashes disapointing,2,negative
crashes distorted,2,negative
crashes enemies,2,negative
crashes error,2,negative
crashes failing,2,negative
crashes hell,2,negative
crashes impossible,2,negative
crashes irritating,2,negative
crashes junk,2,negative
crashes lagging,2,negative
crashes latency,2,negative
crashes negative,2,negative
crashes overpriced,2,negative
crashes pity,2,negative
crashes plague,2,negative
crashes pointless,2,negative
crashes poorly,2,negative
crashes severe,2,negative
crashes strange,2,negative
crashes strike,2,negative
crashes unfinished,2,negative
crashes unreasonable,2,negative
crashes unresponsive,2,negative
crashes unstable,2,negative
crashes violently,2,negative
crashes wrong,2,negative
crashing broken,2,negative
crashing bs,2,negative
crashing buggy,2,negative
crashing cancer,2,negative
crashing challenging,2,negative
crashing corrupting,2,negative
crashing crashed,2,negative
crashing difficulty,2,negative
crashing disappointed,2,negative
crashing failure,2,negative
crashing freezes,2,negative
crashing garbage,2,negative
crashing glitch,2,negative
crashing kill,2,negative
crashing kills,2,negative
crashing lazy,2,negative
crashing limits,2,negative
crashing loss,2,negative
crashing madness,2,negative
crashing overkill,2,negative
crashing rage,2,negative
crashing repetitive,2,negative
crashing ruined,2,negative
crashing sadly,2,negative
crashing shame,2,negative
crashing suck,2,negative
crashing sucks,2,negative
crashing suicide,2,negative
crashing unfinished,2,negative
crashing unreliable,2,negative
crashing wasted,2,negative
crashing weird,2,negative
crazily difficult,2,negative
crazily slow,2,negative
crazy assassin,2,negative
crazy chaotic,2,negative
crazy cheap,2,negative
crazy choppy,2,negative
crazy cons,2,negative
crazy conservative,2,negative
crazy creepy,2,negative
crazy criminal,2,negative
crazy damaged,2,negative
crazy damn,2,negative
crazy death,2,negative
crazy destruction,2,negative
crazy fictional,2,negative
crazy frustrating,2,negative
crazy gibberish,2,negative
crazy glitch,2,negative
crazy glitches,2,negative
crazy instability,2,negative
crazy intense,2,negative
crazy issue,2,negative
crazy jerky,2,negative
crazy messed,2,negative
crazy messing,2,negative
crazy overkill,2,negative
crazy poor,2,negative
crazy scary,2,negative
crazy stubborn,2,negative
crazy stuttering,2,negative
crazy twists,2,negative
crazy unrealistic,2,negative
crazy unusual,2,negative
crazy violent,2,negative
crazy worst,2,negative
creative destructive,2,negative
creative hell,2,negative
creative murder,2,negative
creative trap,2,negative
creep damage,2,negative
creep denial,2,negative
creep extermination,2,negative
creep scare,2,negative
creep slowly,2,negative
creep stun,2,negative
creep stupid,2,negative
creeping death,2,negative
creeping fear,2,negative
creeping suspicion,2,negative
creeps bug,2,negative
creepy bad,2,negative
creepy bug,2,negative
creepy dead,2,negative
creepy dungeon,2,negative
creepy dungeons,2,negative
creepy gross,2,negative
creepy murder,2,negative
creepy mysterious,2,negative
creepy scare,2,negative
creepy tension,2,negative
creepy unnerving,2,negative
creepy unsettling,2,negative
creepy weird,2,negative
creepy womanizer,2,negative
crime mystery,2,negative
criminal confess,2,negative
criminal injustice,2,negative
criminal ironic,2,negative
criminal offence,2,negative
cringe awful,2,negative
cringe bad,2,negative
cripple enemies,2,negative
crippling blow,2,negative
crippling damage,2,negative
crippling enemies,2,negative
crippling loneliness,2,negative
crippling loss,2,negative
crippling weaknesses,2,negative
crisis heck,2,negative
crisis rage,2,negative
critic hype,2,negative
critical ambush,2,negative
critical attack,2,negative
critical enemies,2,negative
critical fault,2,negative
critical kills,2,negative
critical mistakes,2,negative
critical plot,2,negative
critical weakness,2,negative
critics detest,2,negative
critics misunderstood,2,negative
crowded humid,2,negative
crude abrasive,2,negative
