bigram,n,total_sentiment
pretty dissapointed,81,negative
stupid bugs,81,negative
utterly stupid,81,negative
crashing freezing,80,negative
critical bugs,80,negative
incredibly weak,80,negative
utterly ruined,80,negative
damn bad,79,negative
dead enemies,79,negative
fairly limited,79,negative
bad fallout,78,negative
fairly poor,78,negative
hell bent,78,negative
love dark,78,negative
pretty weird,78,negative
recommend wasting,78,negative
stupid hard,78,negative
super smash,78,negative
crash randomly,77,negative
damn annoying,77,negative
killing blow,77,negative
slow grind,77,negative
stronger enemies,77,negative
super clunky,77,negative
boring frustrating,76,negative
boring waste,76,negative
buggy poorly,76,negative
ridiculously slow,76,negative
sorely dissapointed,76,negative
super difficult,76,negative
cons cons,75,negative
enemy tanks,75,negative
impossibly hard,75,negative
incredibly poorly,74,negative
boring dull,73,negative
glitches crashes,73,negative
slow tedious,73,negative
utterly fails,73,negative
broken unfinished,72,negative
glory kills,72,negative
incredibly laggy,72,negative
loud noises,72,negative
bloody awful,71,negative
bloody hell,71,negative
insanely boring,71,negative
stupid bug,71,negative
blatant lie,70,negative
freezing crashing,70,negative
win crap,70,negative
breaking issue,69,negative
fatal flaws,69,negative
incredibly awkward,69,negative
incredibly broken,69,negative
tougher enemies,69,negative
worth bothering,69,negative
cheap rip,68,negative
fail miserably,68,negative
loved fallout,68,negative
poor poor,68,negative
pretty confusing,68,negative
pretty expensive,68,negative
pretty rough,68,negative
super expensive,68,negative
achievements cons,67,negative
annoying glitches,67,negative
bug issues,67,negative
fairly bland,67,negative
pretty upset,67,negative
useless crap,67,negative
worst mistake,67,negative
boring chore,66,negative
dead dead,66,negative
pretty silly,66,negative
worst fallout,66,negative
bad plot,65,negative
crashing randomly,65,negative
sadly disappointed,65,negative
tedious chore,65,negative
badly broken,64,negative
buggy boring,64,negative
damage enemies,64,negative
death penalty,64,negative
nice twist,64,negative
overwhelmingly negative,64,negative
pointless waste,64,negative
ridiculously expensive,64,negative
win lose,64,negative
win loss,64,negative
worst zombie,64,negative
cons buggy,63,negative
dead wrong,63,negative
hard crash,63,negative
ridiculously stupid,63,negative
severe lag,63,negative
stupid crap,63,negative
stupidly difficult,63,negative
boring mess,62,negative
crashing issue,62,negative
decent plot,62,negative
fairly mediocre,62,negative
horrible waste,62,negative
pretty pathetic,62,negative
super lame,62,negative
boring slog,61,negative
difficult enemies,61,negative
enemies kill,61,negative
incredibly lazy,61,negative
instantly crashes,61,negative
powerful enemies,61,negative
progress lost,61,negative
repetitive enemies,61,negative
weak plot,61,negative
brutally difficult,60,negative
brutally hard,60,negative
cons awful,60,negative
mindless grind,60,negative
pretty bored,60,negative
ridiculously overpriced,60,negative
super disappointed,60,negative
terrible bugs,60,negative
worst nightmare,60,negative
zombie horde,60,negative
boring pointless,59,negative
fairly difficult,59,negative
heaven forbid,59,negative
incredibly cheap,59,negative
pretty garbage,59,negative
pretty ugly,59,negative
randomly die,59,negative
risk losing,59,negative
worst waste,59,negative
blatant rip,58,negative
classic doom,58,negative
fairly cheap,58,negative
impossibly difficult,58,negative
amazingly bad,57,negative
death trap,57,negative
defeating enemies,57,negative
freezes crashes,57,negative
strong attack,57,negative
terrible excuse,57,negative
utterly horrible,57,negative
bad poor,56,negative
broken broken,56,negative
cool cons,56,negative
loud noise,56,negative
poor enemy,56,negative
pretty stale,56,negative
pros cheap,56,negative
buggy buggy,55,negative
crash freeze,55,negative
crippling bugs,55,negative
damn stupid,55,negative
dreadfully boring,55,negative
excruciatingly slow,55,negative
freaking annoying,55,negative
frustrating bugs,55,negative
insanely bad,55,negative
stupid boring,55,negative
terrible plot,55,negative
bad terrible,54,negative
cheap death,54,negative
fairly bad,54,negative
fairly slow,54,negative
funny joke,54,negative
instantly kills,54,negative
kill bad,54,negative
passive aggressive,54,negative
pretty challenging,54,negative
pretty laggy,54,negative
trash trash,54,negative
zombie panic,54,negative
bug glitch,53,negative
easy enemies,53,negative
fairly repetitive,53,negative
fairly useless,53,negative
fun bad,53,negative
needlessly difficult,53,negative
pretty lacking,53,negative
pretty simplistic,53,negative
warning warning,53,negative
zombie infested,53,negative
annoying issues,52,negative
boring annoying,52,negative
cons clunky,52,negative
fun hard,52,negative
hard enemies,52,negative
