appid,name,release_date,developer,publisher,free_to_play,virtual_reality_support,controller_support,steam_workshop,singleplayer,multiplayer,is_open_world,is_rogue_like,is_metroidvania,is_visual_novel,has_great_soundtrack,is_shooter,is_rpg,has_female_protagonist,is_sports,windows_support,mac_support,linux_support,required_age,categories,genres,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews
209000,Batman™: Arkham Origins,2013-10-24,WB Games Montreal;Splash Damage,Warner Bros. Interactive Entertainment,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure,Action;Batman;Open World,60,Positive,20365,3519,538,443,2M to 5M,0,23884
243470,Watch_Dogs™,2014-05-26,Ubisoft,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Steam Trading Cards;Partial Controller Support,Action;Adventure,Open World;Hacking;Action,0,Mostly Positive,15159,7383,1176,1343,500k to 1M,25.99,22542
22370,Fallout 3: Game of the Year Edition,2009-12-17,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player,RPG,Open World;RPG;Post-apocalyptic,0,Positive,17742,4495,1242,1076,2M to 5M,14.99,22237
298110,Far Cry® 4,2014-12-01,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,FALSE,FALSE,No,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Co-op;Partial Controller Support,Action;Adventure,Open World;Action;FPS,0,Positive,17082,4740,1062,977,1M to 2M,25.99,21822
313120,Stranded Deep,2015-01-23,Beam Team Games,Beam Team Pty Ltd,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,Single-player;Full controller support;Includes level editor,Adventure;Indie;Early Access,Early Access;Survival;Open World,8,Mostly Positive,15604,5459,272,246,500k to 1M,10.99,21063
393420,Hurtworld,2015-12-03,Bankroll Studios,Bankroll Studios,FALSE,FALSE,No,FALSE,FALSE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,Multi-player;Co-op;Cross-Platform Multiplayer,Action;Adventure;Simulation;Early Access,Early Access;Survival;Open World,0,Mostly Positive,15574,5362,5439,7099,500k to 1M,19.49,20936
518790,theHunter: Call of the Wild™,2017-02-16,Expansive Worlds,Avalanche Studios,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Steam Achievements;Steam Cloud,Adventure;Simulation;Sports,Hunting;Open World;Multiplayer,133,Positive,15716,4308,1409,867,500k to 1M,19.99,20024
289650,Assassin's Creed® Unity,2014-12-19,Ubisoft,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Co-op;In-App Purchases;Partial Controller Support,Action;Adventure,Open World;Parkour;Assassin,0,Mostly Positive,12350,7354,1686,1790,500k to 1M,25.99,19704
637650,FINAL FANTASY XV WINDOWS EDITION,2018-03-06,Square Enix,Square Enix,FALSE,FALSE,Full,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,16,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,RPG;Open World;JRPG,97,Positive,13789,4046,851,701,500k to 1M,34.99,17835
247730,Nether: Resurrected,2014-06-05,Phosphor Games Studio,"Nether Productions, LLC",FALSE,FALSE,No,FALSE,TRUE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;MMO;Valve Anti-Cheat enabled,Action;Indie;Massively Multiplayer;RPG;Simulation,Survival;Open World;Action,0,Mostly Negative,7456,10167,257,291,500k to 1M,6.99,17623
